image_id,term,term_label
LMEX0000000002_IMG_1,LMMA0000000211,lung
LMEX0000000002_IMG_10,LMMA0000000211,lung
LMEX0000000002_IMG_11,LMMA0000000211,lung
LMEX0000000002_IMG_12,LMMA0000000211,lung
LMEX0000000002_IMG_2,LMMA0000000211,lung
LMEX0000000002_IMG_3,LMMA0000000211,lung
LMEX0000000002_IMG_4,LMMA0000000211,lung
LMEX0000000002_IMG_5,LMMA0000000211,lung
LMEX0000000002_IMG_6,LMMA0000000211,lung
LMEX0000000002_IMG_7,LMMA0000000211,lung
LMEX0000000002_IMG_8,LMMA0000000211,lung
LMEX0000000002_IMG_9,LMMA0000000211,lung
LMEX0000000003_IMG_1,LMMA0000000211,lung
LMEX0000000003_IMG_2,LMMA0000000211,lung
LMEX0000000003_IMG_3,LMMA0000000211,lung
LMEX0000000003_IMG_4,LMMA0000000211,lung
LMEX0000000003_IMG_5,LMMA0000000211,lung
LMEX0000000003_IMG_6,LMMA0000000211,lung
LMEX0000000003_IMG_7,LMMA0000000211,lung
LMEX0000000003_IMG_8,LMMA0000000211,lung
LMEX0000000004_IMG_1,LMMA0000000211,lung
LMEX0000000004_IMG_2,LMMA0000000211,lung
LMEX0000000004_IMG_3,LMMA0000000211,lung
LMEX0000000004_IMG_4,LMMA0000000211,lung
LMEX0000000004_IMG_5,LMMA0000000211,lung
LMEX0000000004_IMG_6,LMMA0000000211,lung
LMEX0000000004_IMG_7,LMMA0000000211,lung
LMEX0000000004_IMG_8,LMMA0000000211,lung
LMEX0000000005_IMG_1,LMMA0000000211,lung
LMEX0000000005_IMG_10,LMMA0000000211,lung
LMEX0000000005_IMG_11,LMMA0000000211,lung
LMEX0000000005_IMG_12,LMMA0000000211,lung
LMEX0000000005_IMG_13,LMMA0000000211,lung
LMEX0000000005_IMG_14,LMMA0000000211,lung
LMEX0000000005_IMG_15,LMMA0000000211,lung
LMEX0000000005_IMG_16,LMMA0000000211,lung
LMEX0000000005_IMG_17,LMMA0000000211,lung
LMEX0000000005_IMG_18,LMMA0000000211,lung
LMEX0000000005_IMG_2,LMMA0000000211,lung
LMEX0000000005_IMG_3,LMMA0000000211,lung
LMEX0000000005_IMG_4,LMMA0000000211,lung
LMEX0000000005_IMG_5,LMMA0000000211,lung
LMEX0000000005_IMG_6,LMMA0000000211,lung
LMEX0000000005_IMG_7,LMMA0000000211,lung
LMEX0000000005_IMG_8,LMMA0000000211,lung
LMEX0000000005_IMG_9,LMMA0000000211,lung
LMEX0000000006_IMG_1,LMMA0000000211,lung
LMEX0000000006_IMG_2,LMMA0000000211,lung
LMEX0000000006_IMG_3,LMMA0000000211,lung
LMEX0000000006_IMG_4,LMMA0000000211,lung
